GPU Name,Price (per hour),Download Speed (Mbps),CPU Details,RAM,Storage
5x NVIDIA RTX A4000 16GB,0.13,1000,64x AMD EPYC 7551P,113 GB RAM,3300 GB NVMe SSD
1x NVIDIA RTX A4000 16GB,0.13,1000,5x Intel Xeon E5-2667 v4,34 GB RAM,130 GB NVMe SSD
2x NVIDIA RTX A4000 16GB,0.13,1000,14x Intel Xeon E5-2667 v4,35 GB RAM,2160 GB NVMe SSD
3x NVIDIA RTX A4000 16GB,0.13,1000,60x AMD EPYC 7551P,131 GB RAM,3120 GB NVMe SSD
4x NVIDIA RTX A4000 16GB,0.13,1000,60x AMD EPYC 7551P,127 GB RAM,3250 GB NVMe SSD
3x NVIDIA RTX A4000 16GB,0.13,1000,58x AMD EPYC 7551P,123 GB RAM,4260 GB NVMe SSD
5x NVIDIA RTX A4000 16GB,0.13,1000,64x AMD EPYC 7551P,171 GB RAM,5000 GB NVMe SSD
5x NVIDIA RTX A4000 16GB,0.13,1000,64x AMD EPYC 7551P,128 GB RAM,3130 GB NVMe SSD
5x NVIDIA RTX A4000 16GB,0.13,1000,64x AMD EPYC 7551P,171 GB RAM,4744 GB NVMe SSD
2x NVIDIA RTX A4000 16GB,0.13,1000,54x AMD EPYC 7551P,48 GB RAM,2980 GB NVMe SSD
4x NVIDIA RTX A4000 16GB,0.13,1000,58x AMD EPYC 7551P,159 GB RAM,4340 GB NVMe SSD
4x NVIDIA A2 16GB,0.18,20000,38x AMD EPYC 75F3,208 GB RAM,3680 GB NVMe SSD
1x NVIDIA GeForce RTX 3080 Ti 12GB,0.18,1000,40x AMD EPYC 7551P,56 GB RAM,1215 GB NVMe SSD
5x NVIDIA V100 SXM2 16GB,0.20,1000,42x Intel Xeon E5-2680 v4,357 GB RAM,96 GB NVMe SSD
5x NVIDIA RTX A4000 16GB,0.21,1000,48x Intel Xeon Silver 4314,149 GB RAM,2360 GB NVMe SSD
6x NVIDIA RTX 4000 Ada 20GB,0.24,10000,36x AMD EPYC 7402P,169 GB RAM,6820 GB NVMe SSD
2x NVIDIA RTX 4000 Ada 20GB,0.25,1000,26x AMD EPYC 7302,82 GB RAM,2980 GB NVMe SSD
1x NVIDIA RTX A5000 24GB,0.25,1000,16x AMD EPYC 7543,289 GB RAM,5852 GB NVMe SSD
2x NVIDIA GeForce RTX 4080 16GB,0.29,1000,32x AMD Ryzen 9 5950X,54 GB RAM,1472 GB NVMe SSD
1x NVIDIA GeForce RTX 4080 16GB,0.29,1000,64x AMD EPYC 7551P,128 GB RAM,3250 GB NVMe SSD
1x NVIDIA Quadro RTX 8000 48GB,0.30,1000,16x Intel Xeon E5-2687W v3,102 GB RAM,1404 GB NVMe SSD
4x NVIDIA V100 SXM2 16GB,0.32,1000,26x Intel Xeon E5-2680 v4,236 GB RAM,1130 GB NVMe SSD
7x NVIDIA V100 SXM2 16GB,0.32,10000,50x Intel Xeon E5-2680 v4,409 GB RAM,3190 GB NVMe SSD
8x NVIDIA V100 SXM2 16GB,0.32,1000,48x Intel Xeon E5-2680 v4,437 GB RAM,2585 GB NVMe SSD
7x NVIDIA V100 SXM2 16GB,0.32,10000,50x Intel Xeon E5-2680 v4,406 GB RAM,3440 GB NVMe SSD
2x NVIDIA Quadro RTX 8000 48GB,0.36,10000,30x Intel(R) Xeon(R) Gold 6226 CPU,92 GB RAM,2750 GB NVMe SSD
1x NVIDIA RTX 4500 Ada 24GB,0.36,1000,42x AMD Ryzen Threadripper PRO 3955WX,79 GB RAM,1270 GB NVMe SSD
3x NVIDIA RTX 5000 Ada 32GB,0.42,1000,32x AMD EPYC 7302P,210 GB RAM,2390 GB NVMe SSD
1x NVIDIA A40 48GB,0.46,10000,92x AMD EPYC 7443,416 GB RAM,6004 GB NVMe SSD
2x NVIDIA RTX 6000 Ada 48GB,0.91,10000,16x AMD EPYC 7443,277 GB RAM,5891 GB NVMe SSD
8x NVIDIA RTX 6000 Ada 48GB,0.91,10000,64x AMD EPYC 7443,373 GB RAM,13050 GB NVMe SSD
8x NVIDIA L40s 48GB,1.09,10000,254x AMD EPYC 7702,899 GB RAM,5753 GB NVMe SSD
8x NVIDIA L40s 48GB,1.15,10000,96x AMD EPYC 9354,617 GB RAM,42422 GB NVMe SSD
6x NVIDIA L40 48GB,1.27,1000,110x Intel Xeon Platinum 8352Y,1108 GB RAM,7679 GB NVMe SSD
